type,engine_s,horsepow,wheelbas,width,length,curb_wgt,fuel_cap,mpg,price
0,1.8,140,101.2,67.3,172.4,2.639,13.2,28,21.5
0,3.2,225,108.1,70.3,192.9,3.517,17.2,25,28.4
0,3.5,210,114.6,71.4,196.6,3.85,18,22,42
0,1.8,150,102.6,68.2,178,2.998,16.4,27,23.99
0,2.8,200,108.7,76.1,192,3.561,18.5,22,33.95
0,4.2,310,113,74,198.2,3.902,23.7,21,62
0,2.5,170,107.3,68.4,176,3.179,16.6,26.1,26.99
0,2.8,193,107.3,68.5,176,3.197,16.6,24,33.4
0,2.8,193,111.4,70.9,188,3.472,18.5,24.8,38.9
0,3.1,175,109,72.7,194.6,3.368,17.5,25,21.975
0,3.8,240,109,72.7,196.2,3.543,17.5,23,25.3
0,3.8,205,112.2,73.5,200,3.591,17.5,25,27.885
0,3.8,205,113.8,74.7,206.8,3.778,18.5,24,31.965
0,3,200,107.4,70.3,194.8,3.77,18,22,31.01
0,4.6,275,108,75.5,200.6,3.843,19,22,39.665
0,4.6,275,115.3,74.5,207.2,3.978,18.5,22,39.895
1,5.7,255,117.5,77,201.2,5.572,30,15,46.225
0,1,55,93.1,62.6,149.4,1.895,10.3,45,9.235
0,1.8,120,97.1,66.7,174.3,2.398,13.2,33,13.96
0,2.2,115,104.1,67.9,180.9,2.676,14.3,27,13.26
0,3.1,170,107,69.4,190.4,3.051,15,25,16.535
0,5.7,345,104.5,73.6,179.7,3.21,19.1,22,45.705
0,3.1,175,107.5,72.5,200.9,3.33,16.6,25,18.89
0,3.4,180,110.5,72.7,197.9,3.34,17,27,19.39
0,3.4,180,110.5,73,200,3.389,17,27,18.89
0,3.8,200,101.1,74.1,193.2,3.5,16.8,25,24.34
0,2,132,108,71,186,2.911,16,27,16.48
0,2.5,163,103.7,69.7,190.9,2.967,15.9,24,19.84
0,2.5,168,106,69.2,193,3.332,16,24,24.495
0,2.7,200,113,74.4,209.1,3.452,17,26,22.245
0,3.5,253,113,74.4,207.7,3.564,17,23,28.34
0,3.5,253,113,74.4,197.8,3.567,17,23,29.185
0,2,132,105,74.4,174.4,2.567,12.5,29,12.64
0,2.5,163,103.7,69.1,190.2,2.879,15.9,24,19.045
0,2.5,168,108,71,186,3.058,16,24,20.23
0,8,450,96.2,75.7,176.7,3.375,19,16,69.725
1,2.4,150,113.3,76.8,186.3,3.533,20,24,19.565
1,2.5,120,131,71.5,215,3.557,22,19,16.98
1,3.9,175,109.6,78.8,192.6,4.245,32,15,21.315
1,3.9,175,127.2,78.8,208.5,4.298,32,16,18.575
1,5.2,230,115.7,71.7,193.5,4.394,25,17,26.31
1,5.2,230,138.7,79.3,224.2,4.47,26,17,19.46
0,2,110,98.4,67,174.7,2.468,12.7,30,12.07
0,2,107,103,66.9,174.8,2.564,13.2,30,12.315
0,2.5,170,106.5,69.1,184.6,2.769,15,25,17.035
